Název,Adresa,Lat.,Lon.,Followers,events
"Městská knihovna, 2. patro",Mariánské náměstí 1,50.0874,14.4174,345,2
Studentský klub Celetná,Celetná 20,50.0871,14.4242,345,0
Univerzitní botanická zahrada,Na Slupi 16,50.0706,14.4196,339,0
Alfred ve dvoře,Františka Křížka 36,50.1011,14.4306,337,0
Trafo Gallery,Bubenské nábř. 306/13,50.0984,14.4453,335,0
Mecca,U Průhonu 3,50.1051,14.448,335,0
Winternitzova vila,Na Cihlářce 10,50.0675,14.3885,334,91
Náměstí Republiky,náměstí Republiky,49.7471,13.3785,332,0
Artbar,Štefánikova 836/1,49.208,16.6038,330,1
Vila Tugendhat,Černopolní 237/45,49.2073,16.6161,328,7
Kokpit,Pod Bruskou 2,50.0925,14.4095,328,0
Punctum,Krásova 27,50.0838,14.4467,324,0
Polagraph Praha,Husinecká 14,50.0856,14.4457,324,0
Fotograf Gallery,Jungmannova 7,50.08,14.422,321,0
Dock,Havlíčkovo nábřeží 28,49.8364,18.2961,319,0
Bar/ák,Za Poříčskou branou 7,50.0908,14.4401,312,0
StreetCulture Bar,Štítného 30,50.0851,14.4518,311,0
Mosaic House / La Loca,Odborů 4,50.0775,14.418,309,0
Balbínova poetická hospůdka,Balbínova 6,50.077,14.434,297,0
Ostravar Aréna,Ruská 3077/135,49.8049,18.2485,291,0
GRID,Opatovicka 18,50.0797,14.4184,290,0
DSC Gallery,Dlouhá 5,50.0893,14.4222,289,1
The White Room,Kolbenova 923/34 a,50.1105,14.5111,287,0
Tiskárna,Opatovická 18,50.0797,14.4184,281,0
Buena Vista Club,Kollárova 20,49.7479,13.369,278,0
Cooltour,"Výstaviště Černá louka 3188, pavilon C1",49.8339,18.2942,276,0
Café Louvre,Národní 22,50.0821,14.4188,271,0
Mersey,Minská 15,49.2104,16.5857,271,0
Faval Music Circus,Křížkovského 22,49.1837,16.5795,268,0
Hlavní budova Muzea města Prahy,Na Poříčí 52,50.0899,14.4383,267,6
Galerie Václava Špály,Národní 30,50.0824,14.4203,261,1
Národní divadlo Brno,Dvořákova 11,49.1962,16.6137,259,39
PVA Expo Praha Letňany,Beranových 667,50.1297,14.5142,258,4
Galerie UM,Náměstí Jana Palacha 80,50.0887,14.4149,258,2
Klub Alterna,Kounicova 48,49.2104,16.5948,258,0
Divadlo X10,Charvátova 39/10,50.0825,14.421,257,7
Divadlo Na Fidlovačce,Křesomyslova 625,50.0648,14.436,257,1
Divadlo Semafor,Dejvická 27,50.0991,14.3976,255,0
Denoche Music Hall,Pilnáčkova 543,50.2169,15.8373,254,0
Galerie Jaroslava Fragnera,Betlémské náměstí 5a,50.0845,14.4179,251,0
AVU,U Akademie 4,50.1027,14.4246,248,0
Bajkazyl Náplavka,Rašínovo nábřeží,50.0743,14.4141,246,0
Futura,Holečkova 49,50.0737,14.3942,245,0
Kampa,Na Kampě,50.0864,14.4086,245,0
Café Jedna,Dukelských Hrdinů 530/47,50.1018,14.4327,243,0
Jazz Republic,Jilská 1a,50.0846,14.4188,240,0
